arch-install-scripts,28-1,1,arch-install-scripts-28-1-any.chi.zst,a/arch-install-scripts-28-1-any.chi.zst,arch-install-scripts-28-1,15023
archboot,2022.02-49,49,archboot-2022.02-49-any.chi.zst,a/archboot-2022.02-49-any.chi.zst,archboot-2022.02-49,89507
archinstall,2.5.2-1,1,archinstall-2.5.2-1-any.chi.zst,a/archinstall-2.5.2-1-any.chi.zst,archinstall-2.5.2-1,523373
archiso,69-1,1,archiso-69-1-any.chi.zst,a/archiso-69-1-any.chi.zst,archiso-69-1,94608
archlinux-appstream-data,20230115-1,1,archlinux-appstream-data-20230115-1-any.chi.zst,a/archlinux-appstream-data-20230115-1-any.chi.zst,archlinux-appstream-data-20230115-1,19037758
archlinux-appstream-data-pamac,1%3A20220618-1,1,archlinux-appstream-data-pamac-1%3A20220618-1-any.chi.zst,a/archlinux-appstream-data-pamac-1%3A20220618-1-any.chi.zst,archlinux-appstream-data-pamac-1%3A20220618-1,19112865
archlinux-keyring,20230130-1,1,archlinux-keyring-20230130-1-any.chi.zst,a/archlinux-keyring-20230130-1-any.chi.zst,archlinux-keyring-20230130-1,1182332
archlinux-tweak-tool-git,r797.95a1df6-1,1,archlinux-tweak-tool-git-r797.95a1df6-1-x86_64.chi.zst,a/archlinux-tweak-tool-git-r797.95a1df6-1-x86_64.chi.zst,archlinux-tweak-tool-git-r797.95a1df6-1,31029407
archlinuxcn-keyring,20220128-1,1,archlinuxcn-keyring-20220128-1-any.chi.zst,a/archlinuxcn-keyring-20220128-1-any.chi.zst,archlinuxcn-keyring-20220128-1,296365
ardour,6.2-1,1,ardour-6.2-1-x86_64.chi.zst,a/ardour-6.2-1-x86_64.chi.zst,ardour-6.2-1,18888496
arduino,1%3A1.8.19-1,1,arduino-1%3A1.8.19-1-x86_64.chi.zst,a/arduino-1%3A1.8.19-1-x86_64.chi.zst,arduino-1%3A1.8.19-1,21825796
arduino-avr-core,1.8.2-1,1,arduino-avr-core-1.8.2-1-any.chi.zst,a/arduino-avr-core-1.8.2-1-any.chi.zst,arduino-avr-core-1.8.2-1,2430941
arduino-builder,1.6.1-1,1,arduino-builder-1.6.1-1-x86_64.chi.zst,a/arduino-builder-1.6.1-1-x86_64.chi.zst,arduino-builder-1.6.1-1,4870460
arduino-cli,0.11.0-1,1,arduino-cli-0.11.0-1-x86_64.chi.zst,a/arduino-cli-0.11.0-1-x86_64.chi.zst,arduino-cli-0.11.0-1,5465476
arduino-ctags,5.8_arduino11-4,4,arduino-ctags-5.8_arduino11-4-x86_64.chi.zst,a/arduino-ctags-5.8_arduino11-4-x86_64.chi.zst,arduino-ctags-5.8_arduino11-4,128760
arduino-docs,1.6.6-5,5,arduino-docs-1.6.6-5-any.chi.zst,a/arduino-docs-1.6.6-5-any.chi.zst,arduino-docs-1.6.6-5,5026472
argon2,20190702-4,4,argon2-20190702-4-x86_64.chi.zst,a/argon2-20190702-4-x86_64.chi.zst,argon2-20190702-4,36257
aria2,1.36.0-1,1,aria2-1.36.0-1-x86_64.chi.zst,a/aria2-1.36.0-1-x86_64.chi.zst,aria2-1.36.0-1,1531063
aribb24,1.0.3-3,3,aribb24-1.0.3-3-x86_64.chi.zst,a/aribb24-1.0.3-3-x86_64.chi.zst,aribb24-1.0.3-3,57005
ark,20.04.2-1,1,ark-20.04.2-1-x86_64.chi.zst,a/ark-20.04.2-1-x86_64.chi.zst,ark-20.04.2-1,1445882
arm-none-eabi-newlib,3.3.0-1,1,arm-none-eabi-newlib-3.3.0-1-any.chi.zst,a/arm-none-eabi-newlib-3.3.0-1-any.chi.zst,arm-none-eabi-newlib-3.3.0-1,10956888
arpack,3.8.0-2,2,arpack-3.8.0-2-x86_64.chi.zst,a/arpack-3.8.0-2-x86_64.chi.zst,arpack-3.8.0-2,205907
arrow,7.0.0-4,4,arrow-7.0.0-4-x86_64.chi.zst,a/arrow-7.0.0-4-x86_64.chi.zst,arrow-7.0.0-4,12196804
asciidoc,10.2.0-2,2,asciidoc-10.2.0-2-any.chi.zst,a/asciidoc-10.2.0-2-any.chi.zst,asciidoc-10.2.0-2,639057
aspell,0.60.8-2,2,aspell-0.60.8-2-x86_64.chi.zst,a/aspell-0.60.8-2-x86_64.chi.zst,aspell-0.60.8-2,808924
aspnet-runtime,7.0.2.sdk102-2,2,aspnet-runtime-7.0.2.sdk102-2-x86_64.chi.zst,a/aspnet-runtime-7.0.2.sdk102-2-x86_64.chi.zst,aspnet-runtime-7.0.2.sdk102-2,9861300
