arb,2.22.1-1,1,arb-2.22.1-1-x86_64.chi.zst,a/arb-2.22.1-1-x86_64.chi.zst
arch-install-scripts,28-1,1,arch-install-scripts-28-1-any.chi.zst,a/arch-install-scripts-28-1-any.chi.zst
archboot,2022.02-49,49,archboot-2022.02-49-any.chi.zst,a/archboot-2022.02-49-any.chi.zst
archinstall,2.6.0-1,1,archinstall-2.6.0-1-any.chi.zst,a/archinstall-2.6.0-1-any.chi.zst
archiso,71-1,1,archiso-71-1-any.chi.zst,a/archiso-71-1-any.chi.zst
archlinux-appstream-data,20230715-1,1,archlinux-appstream-data-20230715-1-any.chi.zst,a/archlinux-appstream-data-20230715-1-any.chi.zst
archlinux-keyring,20230704-1,1,archlinux-keyring-20230704-1-any.chi.zst,a/archlinux-keyring-20230704-1-any.chi.zst
archlinux-logout-git,23.06-01,01,archlinux-logout-git-23.06-01-any.chi.zst,a/archlinux-logout-git-23.06-01-any.chi.zst
archlinux-wallpapers-git,23.06-01,01,archlinux-wallpapers-git-23.06-01-any.chi.zst,a/archlinux-wallpapers-git-23.06-01-any.chi.zst
archlinuxcn-keyring,20220128-1,1,archlinuxcn-keyring-20220128-1-any.chi.zst,a/archlinuxcn-keyring-20220128-1-any.chi.zst
arcolinux-arc-aqua-git,23.06-01,01,arcolinux-arc-aqua-git-23.06-01-any.chi.zst,a/arcolinux-arc-aqua-git-23.06-01-any.chi.zst
arcolinux-arc-azul-git,23.06-01,01,arcolinux-arc-azul-git-23.06-01-any.chi.zst,a/arcolinux-arc-azul-git-23.06-01-any.chi.zst
arcolinux-arc-blood-git,23.06-01,01,arcolinux-arc-blood-git-23.06-01-any.chi.zst,a/arcolinux-arc-blood-git-23.06-01-any.chi.zst
arcolinux-arc-blue-sky-git,23.06-01,01,arcolinux-arc-blue-sky-git-23.06-01-any.chi.zst,a/arcolinux-arc-blue-sky-git-23.06-01-any.chi.zst
arcolinux-arc-botticelli-git,23.06-01,01,arcolinux-arc-botticelli-git-23.06-01-any.chi.zst,a/arcolinux-arc-botticelli-git-23.06-01-any.chi.zst
arcolinux-arc-carnation-git,23.06-01,01,arcolinux-arc-carnation-git-23.06-01-any.chi.zst,a/arcolinux-arc-carnation-git-23.06-01-any.chi.zst
arcolinux-arc-casablanca-git,23.06-01,01,arcolinux-arc-casablanca-git-23.06-01-any.chi.zst,a/arcolinux-arc-casablanca-git-23.06-01-any.chi.zst
arcolinux-arc-crimson-git,23.06-01,01,arcolinux-arc-crimson-git-23.06-01-any.chi.zst,a/arcolinux-arc-crimson-git-23.06-01-any.chi.zst
arcolinux-arc-dawn-git,23.06-01,01,arcolinux-arc-dawn-git-23.06-01-any.chi.zst,a/arcolinux-arc-dawn-git-23.06-01-any.chi.zst
arcolinux-arc-dracul-git,23.06-01,01,arcolinux-arc-dracul-git-23.06-01-any.chi.zst,a/arcolinux-arc-dracul-git-23.06-01-any.chi.zst
arcolinux-arc-emerald-git,23.06-01,01,arcolinux-arc-emerald-git-23.06-01-any.chi.zst,a/arcolinux-arc-emerald-git-23.06-01-any.chi.zst
arcolinux-arc-evopop-git,23.06-01,01,arcolinux-arc-evopop-git-23.06-01-any.chi.zst,a/arcolinux-arc-evopop-git-23.06-01-any.chi.zst
arcolinux-arc-fern-git,23.06-01,01,arcolinux-arc-fern-git-23.06-01-any.chi.zst,a/arcolinux-arc-fern-git-23.06-01-any.chi.zst
arcolinux-arc-fire-git,23.06-01,01,arcolinux-arc-fire-git-23.06-01-any.chi.zst,a/arcolinux-arc-fire-git-23.06-01-any.chi.zst
arcolinux-arc-froly-git,23.06-01,01,arcolinux-arc-froly-git-23.06-01-any.chi.zst,a/arcolinux-arc-froly-git-23.06-01-any.chi.zst
arcolinux-arc-havelock-git,23.06-01,01,arcolinux-arc-havelock-git-23.06-01-any.chi.zst,a/arcolinux-arc-havelock-git-23.06-01-any.chi.zst
arcolinux-arc-hibiscus-git,23.06-01,01,arcolinux-arc-hibiscus-git-23.06-01-any.chi.zst,a/arcolinux-arc-hibiscus-git-23.06-01-any.chi.zst
arcolinux-arc-mandy-git,23.06-01,01,arcolinux-arc-mandy-git-23.06-01-any.chi.zst,a/arcolinux-arc-mandy-git-23.06-01-any.chi.zst
arcolinux-arc-mantis-git,23.06-01,01,arcolinux-arc-mantis-git-23.06-01-any.chi.zst,a/arcolinux-arc-mantis-git-23.06-01-any.chi.zst
arcolinux-arc-medium-blue-git,23.06-01,01,arcolinux-arc-medium-blue-git-23.06-01-any.chi.zst,a/arcolinux-arc-medium-blue-git-23.06-01-any.chi.zst
arcolinux-arc-niagara-git,23.06-01,01,arcolinux-arc-niagara-git-23.06-01-any.chi.zst,a/arcolinux-arc-niagara-git-23.06-01-any.chi.zst
arcolinux-arc-nice-blue-git,23.06-01,01,arcolinux-arc-nice-blue-git-23.06-01-any.chi.zst,a/arcolinux-arc-nice-blue-git-23.06-01-any.chi.zst
arcolinux-arc-numix-git,23.06-01,01,arcolinux-arc-numix-git-23.06-01-any.chi.zst,a/arcolinux-arc-numix-git-23.06-01-any.chi.zst
arcolinux-arc-orchid-git,23.06-01,01,arcolinux-arc-orchid-git-23.06-01-any.chi.zst,a/arcolinux-arc-orchid-git-23.06-01-any.chi.zst
arcolinux-arc-pale-grey-git,23.06-01,01,arcolinux-arc-pale-grey-git-23.06-01-any.chi.zst,a/arcolinux-arc-pale-grey-git-23.06-01-any.chi.zst
arcolinux-arc-paper-git,23.06-01,01,arcolinux-arc-paper-git-23.06-01-any.chi.zst,a/arcolinux-arc-paper-git-23.06-01-any.chi.zst
arcolinux-arc-pink-git,23.06-01,01,arcolinux-arc-pink-git-23.06-01-any.chi.zst,a/arcolinux-arc-pink-git-23.06-01-any.chi.zst
arcolinux-arc-polo-git,23.06-01,01,arcolinux-arc-polo-git-23.06-01-any.chi.zst,a/arcolinux-arc-polo-git-23.06-01-any.chi.zst
arcolinux-arc-punch-git,23.06-01,01,arcolinux-arc-punch-git-23.06-01-any.chi.zst,a/arcolinux-arc-punch-git-23.06-01-any.chi.zst
arcolinux-arc-red-orange-git,23.06-01,01,arcolinux-arc-red-orange-git-23.06-01-any.chi.zst,a/arcolinux-arc-red-orange-git-23.06-01-any.chi.zst
arcolinux-arc-sky-blue-git,23.06-01,01,arcolinux-arc-sky-blue-git-23.06-01-any.chi.zst,a/arcolinux-arc-sky-blue-git-23.06-01-any.chi.zst
arcolinux-arc-slate-grey-git,23.06-01,01,arcolinux-arc-slate-grey-git-23.06-01-any.chi.zst,a/arcolinux-arc-slate-grey-git-23.06-01-any.chi.zst
arcolinux-arc-smoke-git,23.06-01,01,arcolinux-arc-smoke-git-23.06-01-any.chi.zst,a/arcolinux-arc-smoke-git-23.06-01-any.chi.zst
arcolinux-arc-soft-blue-git,23.06-01,01,arcolinux-arc-soft-blue-git-23.06-01-any.chi.zst,a/arcolinux-arc-soft-blue-git-23.06-01-any.chi.zst
arcolinux-arc-tacao-git,23.06-01,01,arcolinux-arc-tacao-git-23.06-01-any.chi.zst,a/arcolinux-arc-tacao-git-23.06-01-any.chi.zst
arcolinux-arc-tangerine-git,23.06-01,01,arcolinux-arc-tangerine-git-23.06-01-any.chi.zst,a/arcolinux-arc-tangerine-git-23.06-01-any.chi.zst
arcolinux-arc-tory-git,23.06-01,01,arcolinux-arc-tory-git-23.06-01-any.chi.zst,a/arcolinux-arc-tory-git-23.06-01-any.chi.zst
arcolinux-arc-vampire-git,23.06-01,01,arcolinux-arc-vampire-git-23.06-01-any.chi.zst,a/arcolinux-arc-vampire-git-23.06-01-any.chi.zst
arcolinux-arc-warm-pink-git,23.06-01,01,arcolinux-arc-warm-pink-git-23.06-01-any.chi.zst,a/arcolinux-arc-warm-pink-git-23.06-01-any.chi.zst
arcolinux-awesome-git,23.06-01,01,arcolinux-awesome-git-23.06-01-any.chi.zst,a/arcolinux-awesome-git-23.06-01-any.chi.zst
arcolinux-candy-beauty-git,23.06-01,01,arcolinux-candy-beauty-git-23.06-01-any.chi.zst,a/arcolinux-candy-beauty-git-23.06-01-any.chi.zst
arcolinux-hypr-git,23.06-01,01,arcolinux-hypr-git-23.06-01-any.chi.zst,a/arcolinux-hypr-git-23.06-01-any.chi.zst
arcolinux-keyring,20251209-3,3,arcolinux-keyring-20251209-3-any.chi.zst,a/arcolinux-keyring-20251209-3-any.chi.zst
arcolinux-mirrorlist-git,23.06-01,01,arcolinux-mirrorlist-git-23.06-01-any.chi.zst,a/arcolinux-mirrorlist-git-23.06-01-any.chi.zst
ardour,6.2-1,1,ardour-6.2-1-x86_64.chi.zst,a/ardour-6.2-1-x86_64.chi.zst
arduino,1%3A1.8.19-1,1,arduino-1%3A1.8.19-1-x86_64.chi.zst,a/arduino-1%3A1.8.19-1-x86_64.chi.zst
arduino-avr-core,1.8.2-1,1,arduino-avr-core-1.8.2-1-any.chi.zst,a/arduino-avr-core-1.8.2-1-any.chi.zst
arduino-builder,1.6.1-1,1,arduino-builder-1.6.1-1-x86_64.chi.zst,a/arduino-builder-1.6.1-1-x86_64.chi.zst
arduino-cli,0.11.0-1,1,arduino-cli-0.11.0-1-x86_64.chi.zst,a/arduino-cli-0.11.0-1-x86_64.chi.zst
arduino-ctags,5.8_arduino11-4,4,arduino-ctags-5.8_arduino11-4-x86_64.chi.zst,a/arduino-ctags-5.8_arduino11-4-x86_64.chi.zst
arduino-docs,1.6.6-5,5,arduino-docs-1.6.6-5-any.chi.zst,a/arduino-docs-1.6.6-5-any.chi.zst
argon2,20190702-5,5,argon2-20190702-5-x86_64.chi.zst,a/argon2-20190702-5-x86_64.chi.zst
aria2,1.36.0-1,1,aria2-1.36.0-1-x86_64.chi.zst,a/aria2-1.36.0-1-x86_64.chi.zst
aribb24,1.0.3-3,3,aribb24-1.0.3-3-x86_64.chi.zst,a/aribb24-1.0.3-3-x86_64.chi.zst
ark,20.04.2-1,1,ark-20.04.2-1-x86_64.chi.zst,a/ark-20.04.2-1-x86_64.chi.zst
arm-none-eabi-newlib,3.3.0-1,1,arm-none-eabi-newlib-3.3.0-1-any.chi.zst,a/arm-none-eabi-newlib-3.3.0-1-any.chi.zst
arpack,3.8.0-2,2,arpack-3.8.0-2-x86_64.chi.zst,a/arpack-3.8.0-2-x86_64.chi.zst
arrow,7.0.0-4,4,arrow-7.0.0-4-x86_64.chi.zst,a/arrow-7.0.0-4-x86_64.chi.zst
asciidoc,10.2.0-3,3,asciidoc-10.2.0-3-any.chi.zst,a/asciidoc-10.2.0-3-any.chi.zst
asdf-vm,0.12.0-1,1,asdf-vm-0.12.0-1-any.chi.zst,a/asdf-vm-0.12.0-1-any.chi.zst
aspell,0.60.8-2,2,aspell-0.60.8-2-x86_64.chi.zst,a/aspell-0.60.8-2-x86_64.chi.zst
aspnet-runtime,7.0.9.sdk109-1,1,aspnet-runtime-7.0.9.sdk109-1-x86_64.chi.zst,a/aspnet-runtime-7.0.9.sdk109-1-x86_64.chi.zst
assimp,5.2.5-2,2,assimp-5.2.5-2-x86_64.chi.zst,a/assimp-5.2.5-2-x86_64.chi.zst
ast-firmware,501-1,1,ast-firmware-501-1-any.chi.zst,a/ast-firmware-501-1-any.chi.zst
asymptote,2.64-1,1,asymptote-2.64-1-x86_64.chi.zst,a/asymptote-2.64-1-x86_64.chi.zst
at,3.2.1-1,1,at-3.2.1-1-x86_64.chi.zst,a/at-3.2.1-1-x86_64.chi.zst
at-spi2-atk,2.38.0-1,1,at-spi2-atk-2.38.0-1-x86_64.chi.zst,a/at-spi2-atk-2.38.0-1-x86_64.chi.zst
at-spi2-core,2.48.3-2,2,at-spi2-core-2.48.3-2-x86_64.chi.zst,a/at-spi2-core-2.48.3-2-x86_64.chi.zst
atftp,0.8.0-3,3,atftp-0.8.0-3-x86_64.chi.zst,a/atftp-0.8.0-3-x86_64.chi.zst
atk,2.38.0-1,1,atk-2.38.0-1-x86_64.chi.zst,a/atk-2.38.0-1-x86_64.chi.zst
atkmm,2.28.3-1,1,atkmm-2.28.3-1-x86_64.chi.zst,a/atkmm-2.28.3-1-x86_64.chi.zst
atom,1.61.0beta0-2,2,atom-1.61.0beta0-2-x86_64.chi.zst,a/atom-1.61.0beta0-2-x86_64.chi.zst
atril,1.26.1-1,1,atril-1.26.1-1-x86_64.chi.zst,a/atril-1.26.1-1-x86_64.chi.zst
attica,5.108.0-1,1,attica-5.108.0-1-x86_64.chi.zst,a/attica-5.108.0-1-x86_64.chi.zst
attr,2.5.1-3,3,attr-2.5.1-3-x86_64.chi.zst,a/attr-2.5.1-3-x86_64.chi.zst
aubio,0.4.9-13,13,aubio-0.4.9-13-x86_64.chi.zst,a/aubio-0.4.9-13-x86_64.chi.zst
audacious,4.0.5-1,1,audacious-4.0.5-1-x86_64.chi.zst,a/audacious-4.0.5-1-x86_64.chi.zst
audacious-plugins,4.0.5-1,1,audacious-plugins-4.0.5-1-x86_64.chi.zst,a/audacious-plugins-4.0.5-1-x86_64.chi.zst
audacity,1%3A3.3.3-1,1,audacity-1%3A3.3.3-1-x86_64.chi.zst,a/audacity-1%3A3.3.3-1-x86_64.chi.zst
audiofile,0.3.6-6,6,audiofile-0.3.6-6-x86_64.chi.zst,a/audiofile-0.3.6-6-x86_64.chi.zst
audit,3.1.2-1,1,audit-3.1.2-1-x86_64.chi.zst,a/audit-3.1.2-1-x86_64.chi.zst
augeas,1.14.0-1,1,augeas-1.14.0-1-x86_64.chi.zst,a/augeas-1.14.0-1-x86_64.chi.zst
auracle-git,r366.8739929-4,4,auracle-git-r366.8739929-4-x86_64.chi.zst,a/auracle-git-r366.8739929-4-x86_64.chi.zst
autoconf,2.71-4,4,autoconf-2.71-4-any.chi.zst,a/autoconf-2.71-4-any.chi.zst
autoconf-archive,1%3A2023.02.20-1,1,autoconf-archive-1%3A2023.02.20-1-any.chi.zst,a/autoconf-archive-1%3A2023.02.20-1-any.chi.zst
autofs,5.1.6-2,2,autofs-5.1.6-2-x86_64.chi.zst,a/autofs-5.1.6-2-x86_64.chi.zst
automake,1.16.5-2,2,automake-1.16.5-2-any.chi.zst,a/automake-1.16.5-2-any.chi.zst
autorandr,1.14-1,1,autorandr-1.14-1-any.chi.zst,a/autorandr-1.14-1-any.chi.zst
avahi,1%3A0.8%2Br22%2Bgfd482a7-1,1,avahi-1%3A0.8%2Br22%2Bgfd482a7-1-x86_64.chi.zst,a/avahi-1%3A0.8%2Br22%2Bgfd482a7-1-x86_64.chi.zst
avfs,1.1.5-1,1,avfs-1.1.5-1-x86_64.chi.zst,a/avfs-1.1.5-1-x86_64.chi.zst
avr-binutils,2.34-2,2,avr-binutils-2.34-2-x86_64.chi.zst,a/avr-binutils-2.34-2-x86_64.chi.zst
avr-gcc,10.1.0-1,1,avr-gcc-10.1.0-1-x86_64.chi.zst,a/avr-gcc-10.1.0-1-x86_64.chi.zst
avr-libc,2.0.0-3,3,avr-libc-2.0.0-3-any.chi.zst,a/avr-libc-2.0.0-3-any.chi.zst
avrdude,1%3A6.4-1,1,avrdude-1%3A6.4-1-x86_64.chi.zst,a/avrdude-1%3A6.4-1-x86_64.chi.zst
awesome,4.3-3,3,awesome-4.3-3-x86_64.chi.zst,a/awesome-4.3-3-x86_64.chi.zst
awesome-terminal-fonts,1.1.0-4,4,awesome-terminal-fonts-1.1.0-4-any.chi.zst,a/awesome-terminal-fonts-1.1.0-4-any.chi.zst
axiomd,1.0.0-1,1,axiomd-1.0.0-1-any.chi.zst,a/axiomd-1.0.0-1-any.chi.zst
